artist_name,artist_ID
Empire Of The Sun,67hb7towEyKvt5Z8Bx306c
Phil Collins,4lxfqrEsLX6N1N4OCSkILp
Keinemusik,26WKgv73kRHD0gEDKD1i8j
Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq
Sebastian Yatra,07YUOmWljBTXwIseAUd9TW
Natanael Cano,0elWFr7TW8piilVRYJUe4P
Måneskin,0lAWpj5szCSwM4rUMHYmrr
Ice Spice,3LZZPxNDGDFVSIPqf4JuEf
Florence + The Machine,1moxjboGR7GNWYIMWsRjgG
Big Sean,0c173mlxpT3dSFRgMO8XPh
Bryson Tiller,2EMAnMvWE2eb56ToJVfCWs
Adam Port,2loEsOijJ6XiGzWYFXMIRk
Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG
DaBaby,4r63FhuTkUYltbVAg5TQnk
Aerosmith,7Ey4PD4MYsKc5I2dolUwbH
Elley Duhé,67MNhiAICFY6Pwc2YxCO0K
System Of A Down,5eAWCfyUhZtHHtBdNk56l1
Christian Nodal,0XwVARXT135rw8lyw1EeWP
Nicki Nicole,2UZIAOlrnyZmyzt1nuXr9y
Kings of Leon,2qk9voo8llSGYcZ6xrBzKx
Quavo,0VRj0yCOv2FXJNP47XQnx5
Kid Cudi,0fA0VVWsXO9YnASrzqfmYu
Dasha,7Ez6lTtSMjMf2YSYpukP1I
Tory Lanez,2jku7tDXc6XoB6MO2hFuqg
Summer Walker,57LYzLEk2LcFghVwuWbcuS
El Alfa,2oQX8QiMXOyuqbcZEFsZfm
Bastille,7EQ0qTo7fWT7DPxmxtSYEc
KK,4fEkbug6kZzzJ8eYX6Kbbp
Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J
Yseult,1QsdzIKkTT5gDFj8GB1cIX
Hotel Ugly,35WVTyRnKAoaGExqgktVyb
Rels B,2IMZYfNi21MGqxopj9fWx8
Troye Sivan,3WGpXCj9YhhfX11TToZcXP
Camilo,28gNT5KBp7IjEOQoevXf9N
Bryan Adams,3Z02hBLubJxuFJfhacLSDc
Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU
2Pac,1ZwdS5xdxEREPySFridCfh
Giveon,4fxd5Ee7UefO4CUXgwJ7IP
Stephen Sanchez,5XKFrudbV4IiuE5WuTPRmT
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK
Tainy,0GM7qgcRCORpGnfcN2tCiB
Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY
Conan Gray,4Uc8Dsxct0oMqx0P6i60ea
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ
Nickelback,6deZN1bslXzeGvOLaLMOIF
Eagles,0ECwFtbIWEVNwjlrfc6xoL
Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa
Tears For Fears,4bthk9UfsYUYdcFyqxmSUU
Lil Durk,3hcs9uc56yIGFCSy9leWe7
Nile Rodgers,3yDIp0kaq9EFKe07X1X2rz
Kacey Musgraves,70kkdajctXSbqSMJbQO424
TV Girl,0Y6dVaC9DZtPNH4591M42W
Tyga,5LHRHt1k9lMyONurDHEdrp
John Legend,5y2Xq6xcjJb2jVM54GHK3t
Shankar Mahadevan,1SJOL9HJ08YOn92lFcYf8a
G-Eazy,02kJSzxNuaWGqwubyUba0Z
¥$,4xPQFgDA5M2xa0ZGo5iIsv
Vishal Mishra,5wJ1H6ud777odtZl5gG507
Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5
Ovy On The Drums,3m5qlPf2OkihLz3dRYnkPA
Anirudh Ravichander,4zCH9qm4R2DADamUHMCa6O
Oasis,2DaxqgrOhkeH0fpeiQq2f4
Luis Fonsi,4V8Sr092TqfHkfAA5fXXqG
Daft Punk,4tZwfgrHOc3mvqYlEYSvVi
Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj
Jelly Roll,19k8AgwwTSxeaxkOuCQEJs
Paramore,74XFHRwlV6OrjEM0A2NCMF
Disturbed,3TOqt5oJwL9BE2NG9MEwDa
Lorde,163tK9Wjr9P9DmM0AVK7lm
ATL Jacob,7jAs1uPnpfNmT6e5qtEPxq
David Kushner,33NVpKoXjItPwUJTMZIOiY
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb
Annie Lennox,5MspMQqdVbdwP6ax3GXqum
Foster The People,7gP3bB2nilZXLfPHJhMdvc
Macklemore & Ryan Lewis,3JhNCzhSMTxs9WLGJJxWOY
Ryan Castro,7j6DKwmjbxvpQO8h914uEz
Yandel,0eHQ9o50hj6ZDNBt6Ys1sD
Shilpa Rao,19LIHDDSHBD5NyYHI3gpzB
