Artist,Listeners,Daily Trend,Peak,PkListeners
Justine Skye,"5,059,311","220,064",539,"11,860,302"
Tarkan,"5,057,320","214,793",1883,"5,850,382"
LUCKI,"5,053,348","169,998",1461,"6,916,806"
Bobby Pulido,"5,052,234","288,302",1557,"6,392,209"
Spandau Ballet,"5,051,368","295,277",2277,"5,051,368"
Lil Skies,"5,049,392","161,305",1551,"6,211,141"
Tiagz,"5,048,898","332,609",1215,"7,947,316"
Chalino Sanchez,"5,045,327","220,994",2211,"5,095,818"
Repiet,"5,040,789","297,848",2282,"5,040,789"
BossMan Dlow,"5,040,544","157,425",1976,"5,617,131"
Chris Grey,"5,036,514","160,640",2198,"5,036,514"
Los Plebes del Rancho de Ariel Camacho,"5,036,392","216,890",1687,"5,600,141"
Gustavo Cerati,"5,033,835","215,410",2146,"5,091,570"
